mName,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation (address),GeoLocation (zip),GeoLocation (city),GeoLocation,GeoLocation (state)
Dhofar 515,7276,Valid,H5,315,Found,01/01/2000 12:00:00 AM,19.00667,54.39333,,,,POINT (54.39333 19.00667),
Dhofar 516,7277,Valid,LL6,145,Found,01/01/2000 12:00:00 AM,18.875,54.46667,,,,POINT (54.46667 18.875),
Dhofar 517,7278,Valid,L6,260,Found,01/01/2000 12:00:00 AM,18.925,54.45833,,,,POINT (54.45833 18.925),
Dhofar 518,7279,Valid,H6,247,Found,01/01/2000 12:00:00 AM,18.70667,54.38,,,,POINT (54.38 18.70667),
Dhofar 521,7282,Valid,L4,386,Found,01/01/2000 12:00:00 AM,19.17333,54.87,,,,POINT (54.87 19.17333),
Dhofar 522,7283,Valid,H4,186,Found,01/01/2000 12:00:00 AM,18.24,54.16833,,,,POINT (54.16833 18.24),
Dhofar 524,7285,Valid,L5,204,Found,01/01/2000 12:00:00 AM,19.09833,54.5,,,,POINT (54.5 19.09833),
Dhofar 526,7287,Valid,L6,346,Found,01/01/2000 12:00:00 AM,19.33833,54.67667,,,,POINT (54.67667 19.33833),
Dhofar 527,7288,Valid,H4,172,Found,01/01/2001 12:00:00 AM,18.27667,54.135,,,,POINT (54.135 18.27667),
Dhofar 528,7289,Valid,L5,374,Found,01/01/2001 12:00:00 AM,18.36667,54.15167,,,,POINT (54.15167 18.36667),
Dhofar 529,7290,Valid,H5,368,Found,01/01/2001 12:00:00 AM,18.37333,54.13,,,,POINT (54.13 18.37333),
Dhofar 530,7291,Valid,L4,240,Found,01/01/2001 12:00:00 AM,18.37,54.23333,,,,POINT (54.23333 18.37),
Dhofar 531,7292,Valid,L6,258,Found,01/01/2001 12:00:00 AM,18.43333,54.10833,,,,POINT (54.10833 18.43333),
Dhofar 533,7294,Valid,L6,308,Found,01/01/2000 12:00:00 AM,18.17833,54.18167,,,,POINT (54.18167 18.17833),
Dhofar 534,7295,Valid,H5,173,Found,01/01/2001 12:00:00 AM,19.19667,54.70333,,,,POINT (54.70333 19.19667),
Dhofar 535,7296,Valid,Chondrite-ung,204,Found,01/01/2000 12:00:00 AM,19.33333,54.795,,,,POINT (54.795 19.33333),
Dhofar 538,7299,Valid,L5,230,Found,01/01/2002 12:00:00 AM,19.33833,54.605,,,,POINT (54.605 19.33833),
Dhofar 539,7300,Valid,H5,102,Found,01/01/2001 12:00:00 AM,18.18833,54.16667,,,,POINT (54.16667 18.18833),
Dhofar 540,7301,Valid,E4,104,Found,01/01/2001 12:00:00 AM,18.56,54.105,,,,POINT (54.105 18.56),
Dhofar 541,7302,Valid,H4,1233.3,Found,01/01/2000 12:00:00 AM,18.33433,54.18067,,,,POINT (54.18067 18.33433),
Dhofar 543,7304,Valid,H6,265,Found,01/01/2001 12:00:00 AM,19.27461,54.45939,,,,POINT (54.45939 19.27461),
Dhofar 544,7305,Valid,H5,2392,Found,01/01/2001 12:00:00 AM,19.31528,54.51786,,,,POINT (54.51786 19.31528),
Dhofar 545,7306,Valid,LL4,513,Found,01/01/2001 12:00:00 AM,19.35225,54.63828,,,,POINT (54.63828 19.35225),
Dhofar 546,7307,Valid,L5,777,Found,01/01/2001 12:00:00 AM,19.30594,54.54494,,,,POINT (54.54494 19.30594),
Dhofar 547,7308,Valid,L5,514,Found,01/01/2001 12:00:00 AM,19.37919,54.16786,,,,POINT (54.16786 19.37919),
Dhofar 548,7309,Valid,H4,3677,Found,01/01/2001 12:00:00 AM,19.34917,54.56833,,,,POINT (54.56833 19.34917),
Dhofar 549,7310,Valid,H5,250,Found,01/01/2001 12:00:00 AM,18.70953,54.36465,,,,POINT (54.36465 18.70953),
Dhofar 550,7311,Valid,L6,280,Found,01/01/2001 12:00:00 AM,18.84135,54.5634,,,,POINT (54.5634 18.84135),
Dhofar 551,7312,Valid,H5/6,181,Found,01/01/2001 12:00:00 AM,18.71728,54.35902,,,,POINT (54.35902 18.71728),
Dhofar 552,7313,Valid,H5,362,Found,01/01/2001 12:00:00 AM,18.7166,54.36753,,,,POINT (54.36753 18.7166),
Dhofar 553,7314,Valid,H5,604,Found,01/01/2001 12:00:00 AM,18.72268,54.3756,,,,POINT (54.3756 18.72268),
Dhofar 554,7315,Valid,H5,751,Found,01/01/2001 12:00:00 AM,18.72237,54.3784,,,,POINT (54.3784 18.72237),
Dhofar 555,7316,Valid,H6,223,Found,01/01/2001 12:00:00 AM,18.71653,54.36915,,,,POINT (54.36915 18.71653),
Dhofar 556,7317,Valid,H5,247,Found,01/01/2001 12:00:00 AM,18.71897,54.36953,,,,POINT (54.36953 18.71897),
Dhofar 557,7318,Valid,H5,859,Found,01/01/2001 12:00:00 AM,18.72663,54.37452,,,,POINT (54.37452 18.72663),
Dhofar 558,7319,Valid,H6,680,Found,01/01/2001 12:00:00 AM,18.73028,54.37948,,,,POINT (54.37948 18.73028),
Dhofar 559,7320,Valid,H5,113,Found,01/01/2001 12:00:00 AM,18.71848,54.22,,,,POINT (54.22 18.71848),
Dhofar 560,7321,Valid,H5,593,Found,01/01/2001 12:00:00 AM,18.72607,54.38083,,,,POINT (54.38083 18.72607),
Dhofar 561,7322,Valid,H5,692,Found,01/01/2001 12:00:00 AM,18.7271,54.37072,,,,POINT (54.37072 18.7271),
Dhofar 562,7323,Valid,H5,1100,Found,01/01/2001 12:00:00 AM,18.72745,54.38548,,,,POINT (54.38548 18.72745),
Dhofar 563,7324,Valid,H5,242,Found,01/01/2001 12:00:00 AM,18.71975,54.37838,,,,POINT (54.37838 18.71975),
Dhofar 564,7325,Valid,H5,283,Found,01/01/2001 12:00:00 AM,18.71863,54.37952,,,,POINT (54.37952 18.71863),
Dhofar 565,7326,Valid,H5,466,Found,01/01/2001 12:00:00 AM,18.81857,54.37443,,,,POINT (54.37443 18.81857),
Dhofar 566,7327,Valid,H5,215,Found,01/01/2001 12:00:00 AM,18.71272,54.37388,,,,POINT (54.37388 18.71272),
Dhofar 567,7328,Valid,H6,328,Found,01/01/2001 12:00:00 AM,18.7128,54.37842,,,,POINT (54.37842 18.7128),
Dhofar 571,7332,Valid,H5,371,Found,01/01/2001 12:00:00 AM,18.71905,54.36962,,,,POINT (54.36962 18.71905),
Dhofar 572,7333,Valid,H5,289,Found,01/01/2001 12:00:00 AM,18.70292,54.36708,,,,POINT (54.36708 18.70292),
Dhofar 574,7335,Valid,H5,687,Found,01/01/2001 12:00:00 AM,18.7281,54.38103,,,,POINT (54.38103 18.7281),
Dhofar 575,7336,Valid,L6,127,Found,01/01/2001 12:00:00 AM,18.671,54.42017,,,,POINT (54.42017 18.671),
Dhofar 576,7337,Valid,H5,183,Found,01/01/2001 12:00:00 AM,18.67985,54.41197,,,,POINT (54.41197 18.67985),
Dhofar 577,7338,Valid,H6,494,Found,01/01/2001 12:00:00 AM,18.6811,54.39833,,,,POINT (54.39833 18.6811),
Dhofar 578,7339,Valid,L6,108,Found,01/01/2001 12:00:00 AM,18.76628,54.66063,,,,POINT (54.66063 18.76628),
Dhofar 579,7340,Valid,H5/6,206,Found,01/01/2001 12:00:00 AM,18.71983,54.19695,,,,POINT (54.19695 18.71983),
Dhofar 580,7341,Valid,LL6,812,Found,01/01/2001 12:00:00 AM,18.71505,54.19682,,,,POINT (54.19682 18.71505),
Dhofar 582,7342,Valid,H5-6,473,Found,01/01/2001 12:00:00 AM,18.72347,54.19185,,,,POINT (54.19185 18.72347),
Dhofar 583,7343,Valid,H6,1378,Found,01/01/2001 12:00:00 AM,18.72495,54.1872,,,,POINT (54.1872 18.72495),
Dhofar 587,7344,Valid,H5,537,Found,01/01/2001 12:00:00 AM,18.7246,54.19162,,,,POINT (54.19162 18.7246),
Dhofar 588,7345,Valid,L5/6,226,Found,01/01/2001 12:00:00 AM,18.69955,54.19663,,,,POINT (54.19663 18.69955),
Dhofar 590,7347,Valid,H6,379,Found,01/01/2001 12:00:00 AM,18.70563,54.18152,,,,POINT (54.18152 18.70563),
Dhofar 591,7348,Valid,H4,215,Found,01/01/2001 12:00:00 AM,18.69217,54.2014,,,,POINT (54.2014 18.69217),
Dhofar 592,7349,Valid,L5/6,108,Found,01/01/2001 12:00:00 AM,18.69238,54.19085,,,,POINT (54.19085 18.69238),
Dhofar 593,7350,Valid,H4,182,Found,01/01/2001 12:00:00 AM,18.7386,54.21205,,,,POINT (54.21205 18.7386),
Dhofar 594,7351,Valid,H3-6,1806,Found,01/01/2001 12:00:00 AM,18.7247,54.39503,,,,POINT (54.39503 18.7247),
Dhofar 595,7352,Valid,H5,334,Found,01/01/2001 12:00:00 AM,18.74012,54.37328,,,,POINT (54.37328 18.74012),
Dhofar 596,7353,Valid,H5,764,Found,01/01/2001 12:00:00 AM,18.7395,54.37357,,,,POINT (54.37357 18.7395),
Dhofar 597,7354,Valid,H5,723,Found,01/01/2001 12:00:00 AM,18.74225,54.37987,,,,POINT (54.37987 18.74225),
Dhofar 599,7356,Valid,L6,465,Found,01/01/2001 12:00:00 AM,18.69087,54.7048,,,,POINT (54.7048 18.69087),
Dhofar 600,7357,Valid,L6,183,Found,01/01/2001 12:00:00 AM,18.6912,54.6836,,,,POINT (54.6836 18.6912),
Dhofar 601,7358,Valid,H6,226,Found,01/01/2001 12:00:00 AM,18.68805,54.67873,,,,POINT (54.67873 18.68805),
Dhofar 602,7359,Valid,H5/6,137,Found,01/01/2001 12:00:00 AM,18.70712,54.18305,,,,POINT (54.18305 18.70712),
Dhofar 603,7360,Valid,L4,245,Found,01/01/2001 12:00:00 AM,18.72913,54.18748,,,,POINT (54.18748 18.72913),
Dhofar 604,7361,Valid,H5/6,300,Found,01/01/2001 12:00:00 AM,18.7888,54.41863,,,,POINT (54.41863 18.7888),
Dhofar 605,7362,Valid,H5/6,469,Found,01/01/2001 12:00:00 AM,18.71768,54.19992,,,,POINT (54.19992 18.71768),
Dhofar 606,7363,Valid,H3-5,259,Found,01/01/2001 12:00:00 AM,18.72545,54.18723,,,,POINT (54.18723 18.72545),
Dhofar 607,7364,Valid,H5,5000,Found,01/01/2001 12:00:00 AM,18.7288,54.19053,,,,POINT (54.19053 18.7288),
Dhofar 610,7367,Valid,H5,176,Found,01/01/2001 12:00:00 AM,18.74047,54.19965,,,,POINT (54.19965 18.74047),
Dhofar 612,7369,Valid,L5,559,Found,01/01/2001 12:00:00 AM,19.14465,54.88252,,,,POINT (54.88252 19.14465),
Dhofar 613,7370,Valid,H5,482,Found,01/01/2001 12:00:00 AM,19.15362,54.71268,,,,POINT (54.71268 19.15362),
Dhofar 614,7371,Valid,L6,197,Found,01/01/2001 12:00:00 AM,19.25775,54.78192,,,,POINT (54.78192 19.25775),
Dhofar 615,7372,Valid,L3,966,Found,01/01/2001 12:00:00 AM,19.17863,54.89285,,,,POINT (54.89285 19.17863),
Dhofar 617,7374,Valid,H6,7395,Found,01/01/2001 12:00:00 AM,19.161,54.70645,,,,POINT (54.70645 19.161),
Dhofar 619,7376,Valid,H5/6,140,Found,01/01/2001 12:00:00 AM,19.14145,54.6593,,,,POINT (54.6593 19.14145),
Dhofar 620,7377,Valid,L6,154,Found,01/01/2001 12:00:00 AM,19.16667,54.65688,,,,POINT (54.65688 19.16667),
Dhofar 621,7378,Valid,L6,206,Found,01/01/2001 12:00:00 AM,19.32458,54.8239,,,,POINT (54.8239 19.32458),
Dhofar 623,7380,Valid,L6,147,Found,01/01/2001 12:00:00 AM,19.18553,54.65797,,,,POINT (54.65797 19.18553),
Dhofar 624,7381,Valid,H5,1332,Found,01/01/2001 12:00:00 AM,19.12012,54.814,,,,POINT (54.814 19.12012),
Dhofar 625,7382,Valid,H5/6,314,Found,01/01/2001 12:00:00 AM,19.11283,54.82363,,,,POINT (54.82363 19.11283),
Dhofar 626,7383,Valid,L6,332,Found,01/01/2001 12:00:00 AM,19.11608,54.82283,,,,POINT (54.82283 19.11608),
Dhofar 627,7384,Valid,H5,361,Found,01/01/2001 12:00:00 AM,19.11212,54.82022,,,,POINT (54.82022 19.11212),
Dhofar 628,7385,Valid,H5/6,2220,Found,01/01/2001 12:00:00 AM,19.106,54.81438,,,,POINT (54.81438 19.106),
Dhofar 629,7386,Valid,H5,830,Found,01/01/2001 12:00:00 AM,19.10948,54.8162,,,,POINT (54.8162 19.10948),
Dhofar 630,7387,Valid,H5,146,Found,01/01/2001 12:00:00 AM,19.1079,54.81267,,,,POINT (54.81267 19.1079),
Dhofar 631,7388,Valid,H5,1395,Found,01/01/2001 12:00:00 AM,19.10982,54.81738,,,,POINT (54.81738 19.10982),
Dhofar 634,7391,Valid,L6,436,Found,01/01/2001 12:00:00 AM,19.11107,54.61557,,,,POINT (54.61557 19.11107),
Dhofar 635,7392,Valid,L6,261,Found,01/01/2001 12:00:00 AM,19.0682,54.77513,,,,POINT (54.77513 19.0682),
Dhofar 636,7393,Valid,L5,718,Found,01/01/2001 12:00:00 AM,19.1982,54.88227,,,,POINT (54.88227 19.1982),
Dhofar 637,7394,Valid,L5,251,Found,01/01/2001 12:00:00 AM,19.1958,54.8619,,,,POINT (54.8619 19.1958),
Dhofar 638,7395,Valid,L6,103,Found,01/01/2001 12:00:00 AM,19.20277,54.65562,,,,POINT (54.65562 19.20277),
Dhofar 639,7396,Valid,L6,1521,Found,01/01/2001 12:00:00 AM,19.20277,54.60048,,,,POINT (54.60048 19.20277),
Dhofar 642,7399,Valid,L6,135,Found,01/01/2001 12:00:00 AM,18.19282,53.80802,,,,POINT (53.80802 18.19282),
Dhofar 643,7400,Valid,H6,124,Found,01/01/2001 12:00:00 AM,18.65065,53.92492,,,,POINT (53.92492 18.65065),
Dhofar 644,7401,Valid,L6,704,Found,01/01/2001 12:00:00 AM,18.6608,53.90457,,,,POINT (53.90457 18.6608),
Dhofar 646,7403,Valid,H5/6,3518,Found,01/01/2001 12:00:00 AM,18.9942,54.18137,,,,POINT (54.18137 18.9942),
Dhofar 647,7404,Valid,L6,147,Found,01/01/2001 12:00:00 AM,19.18155,54.68738,,,,POINT (54.68738 19.18155),
Dhofar 648,7405,Valid,LL6,133,Found,01/01/2001 12:00:00 AM,19.18947,54.64198,,,,POINT (54.64198 19.18947),
Dhofar 650,7407,Valid,L6,114,Found,01/01/2001 12:00:00 AM,19.19365,54.7766,,,,POINT (54.7766 19.19365),
Dhofar 651,7408,Valid,H5/6,218,Found,01/01/2001 12:00:00 AM,19.20372,54.77657,,,,POINT (54.77657 19.20372),
Dhofar 653,7410,Valid,H5/6,1308,Found,01/01/2001 12:00:00 AM,19.10795,54.81,,,,POINT (54.81 19.10795),
Dhofar 654,7411,Valid,H5/6,167,Found,01/01/2001 12:00:00 AM,19.1071,54.81638,,,,POINT (54.81638 19.1071),
Dhofar 655,7412,Valid,H5,400,Found,01/01/2001 12:00:00 AM,19.11953,54.83563,,,,POINT (54.83563 19.11953),
Dhofar 656,7413,Valid,H4,724,Found,01/01/2001 12:00:00 AM,19.09107,54.79628,,,,POINT (54.79628 19.09107),
Dhofar 657,7414,Valid,H5/6,652,Found,01/01/2001 12:00:00 AM,19.09915,54.80073,,,,POINT (54.80073 19.09915),
Dhofar 658,7415,Valid,H4/5,225,Found,01/01/2001 12:00:00 AM,19.1073,54.78677,,,,POINT (54.78677 19.1073),
Dhofar 659,7416,Valid,L3-6,275,Found,01/01/2001 12:00:00 AM,19.12072,54.77867,,,,POINT (54.77867 19.12072),
Dhofar 660,7417,Valid,L5-6,963,Found,01/01/2001 12:00:00 AM,19.12657,54.80297,,,,POINT (54.80297 19.12657),
Dhofar 662,7419,Valid,H5,1511,Found,01/01/2001 12:00:00 AM,19.09815,54.80662,,,,POINT (54.80662 19.09815),
Dhofar 663,7420,Valid,H5,633,Found,01/01/2001 12:00:00 AM,19.098,54.80357,,,,POINT (54.80357 19.098),
Dhofar 664,7421,Valid,H5/6,988,Found,01/01/2001 12:00:00 AM,19.1046,54.80945,,,,POINT (54.80945 19.1046),
Dhofar 665,7422,Valid,H5/6,233,Found,01/01/2001 12:00:00 AM,19.10777,54.81222,,,,POINT (54.81222 19.10777),
Dhofar 667,7424,Valid,H5,424,Found,01/01/2001 12:00:00 AM,19.11628,54.8095,,,,POINT (54.8095 19.11628),
Dhofar 668,7425,Valid,H5,500,Found,01/01/2001 12:00:00 AM,19.1005,54.77292,,,,POINT (54.77292 19.1005),
Dhofar 669,7426,Valid,H5,425,Found,01/01/2001 12:00:00 AM,19.09908,54.8067,,,,POINT (54.8067 19.09908),
Dhofar 670,7427,Valid,H5/6,633,Found,01/01/2001 12:00:00 AM,19.10097,54.80688,,,,POINT (54.80688 19.10097),
Dhofar 672,7429,Valid,H6,453,Found,01/01/2001 12:00:00 AM,19.20318,54.60555,,,,POINT (54.60555 19.20318),
Dhofar 673,7430,Valid,L6,1493,Found,01/01/2001 12:00:00 AM,19.2063,54.6083,,,,POINT (54.6083 19.2063),
Dhofar 674,7431,Valid,L6,852,Found,01/01/2001 12:00:00 AM,19.21305,54.61098,,,,POINT (54.61098 19.21305),
Dhofar 676,7433,Valid,L6,110,Found,01/01/2001 12:00:00 AM,19.22157,54.62478,,,,POINT (54.62478 19.22157),
Dhofar 677,7434,Valid,L6,533,Found,01/01/2001 12:00:00 AM,19.22398,54.63223,,,,POINT (54.63223 19.22398),
Dhofar 678,7435,Valid,H5,698,Found,01/01/2001 12:00:00 AM,19.2663,54.6714,,,,POINT (54.6714 19.2663),
Dhofar 679,7436,Valid,H5,1653,Found,01/01/2001 12:00:00 AM,19.27163,54.66957,,,,POINT (54.66957 19.27163),
Dhofar 681,7438,Valid,H5,109,Found,01/01/2001 12:00:00 AM,19.30317,54.6985,,,,POINT (54.6985 19.30317),
Dhofar 682,7439,Valid,H5/6,116,Found,01/01/2001 12:00:00 AM,19.31245,54.71187,,,,POINT (54.71187 19.31245),
Dhofar 683,7440,Valid,H5,126,Found,01/01/2001 12:00:00 AM,19.30697,54.71355,,,,POINT (54.71355 19.30697),
Dhofar 684,7441,Valid,L5,405,Found,01/01/2001 12:00:00 AM,19.31268,54.7189,,,,POINT (54.7189 19.31268),
Dhofar 685,7442,Valid,H5/6,379,Found,01/01/2001 12:00:00 AM,19.34538,54.73505,,,,POINT (54.73505 19.34538),
Dhofar 686,7443,Valid,L6,530,Found,01/01/2001 12:00:00 AM,19.3445,54.72835,,,,POINT (54.72835 19.3445),
Dhofar 687,7444,Valid,H5/6,945,Found,01/01/2001 12:00:00 AM,19.3415,54.72497,,,,POINT (54.72497 19.3415),
Dhofar 688,7445,Valid,L5,513,Found,01/01/2001 12:00:00 AM,19.35335,54.7402,,,,POINT (54.7402 19.35335),
Dhofar 689,7446,Valid,H5/6,503,Found,01/01/2001 12:00:00 AM,19.37513,54.74853,,,,POINT (54.74853 19.37513),
Dhofar 690,7447,Valid,L6,1769,Found,01/01/2001 12:00:00 AM,19.4118,54.76188,,,,POINT (54.76188 19.4118),
Dhofar 691,7448,Valid,L5,428,Found,01/01/2001 12:00:00 AM,19.40672,54.75822,,,,POINT (54.75822 19.40672),
Dhofar 693,7450,Valid,H5,101,Found,01/01/2001 12:00:00 AM,19.4212,54.7952,,,,POINT (54.7952 19.4212),
Dhofar 694,7451,Valid,H5,147,Found,01/01/2001 12:00:00 AM,19.42977,54.80397,,,,POINT (54.80397 19.42977),
Dhofar 695,7452,Valid,H3.9,702,Found,01/01/2002 12:00:00 AM,19.28167,54.83,,,,POINT (54.83 19.28167),
Dhofar 696,7453,Valid,L6,233,Found,01/01/2002 12:00:00 AM,19.23667,54.75833,,,,POINT (54.75833 19.23667),
Dhofar 697,7454,Valid,L6,409,Found,01/01/2002 12:00:00 AM,19.38333,54.595,,,,POINT (54.595 19.38333),
Dhofar 698,33715,Valid,H4,268,Found,01/01/2001 12:00:00 AM,19.187,54.77733,,,,POINT (54.77733 19.187),
Dhofar 699,7455,Valid,H4,444,Found,01/01/2002 12:00:00 AM,19.10333,54.82833,,,,POINT (54.82833 19.10333),
Dhofar 700,7456,Valid,Diogenite,2770,Found,01/01/2002 12:00:00 AM,19.30833,54.55167,,,,POINT (54.55167 19.30833),
Dhofar 701,7457,Valid,L5,220,Found,01/01/2002 12:00:00 AM,19.14833,54.80333,,,,POINT (54.80333 19.14833),
Dhofar 702,7458,Valid,H4,2878,Found,01/01/2002 12:00:00 AM,19.165,54.77667,,,,POINT (54.77667 19.165),
Dhofar 703,7459,Valid,L5,205,Found,01/01/2001 12:00:00 AM,19.17333,54.875,,,,POINT (54.875 19.17333),
Dhofar 704,7460,Valid,L4,280,Found,01/01/2001 12:00:00 AM,18.89167,54.58667,,,,POINT (54.58667 18.89167),
Dhofar 705,7461,Valid,L6,283,Found,01/01/2001 12:00:00 AM,18.81667,54.26167,,,,POINT (54.26167 18.81667),
Dhofar 706,7462,Valid,H5,255,Found,01/01/2001 12:00:00 AM,19.05333,54.53333,,,,POINT (54.53333 19.05333),
Dhofar 707,7463,Valid,L5,205,Found,01/01/2001 12:00:00 AM,18.425,54.16,,,,POINT (54.16 18.425),
Dhofar 708,7464,Valid,H3,209,Found,01/01/2001 12:00:00 AM,18.345,54.175,,,,POINT (54.175 18.345),
Dhofar 709,7465,Valid,LL6,336,Found,01/01/2001 12:00:00 AM,18.385,54.135,,,,POINT (54.135 18.385),
Dhofar 710,7466,Valid,L6,182,Found,01/01/2001 12:00:00 AM,18.46,54.00667,,,,POINT (54.00667 18.46),
Dhofar 711,7467,Valid,L5,370,Found,01/01/2001 12:00:00 AM,18.49833,54.04333,,,,POINT (54.04333 18.49833),
Dhofar 712,7468,Valid,L6,577,Found,01/01/2001 12:00:00 AM,18.69833,54.61333,,,,POINT (54.61333 18.69833),
Dhofar 713,7469,Valid,H6,362,Found,01/01/2001 12:00:00 AM,18.715,54.35833,,,,POINT (54.35833 18.715),
Dhofar 714,7470,Valid,H5,207,Found,01/01/2000 12:00:00 AM,18.25167,54.425,,,,POINT (54.425 18.25167),
Dhofar 715,7471,Valid,LL4,252,Found,01/01/2000 12:00:00 AM,18.9,54.4,,,,POINT (54.4 18.9),
Dhofar 716,7472,Valid,LL5,361,Found,01/01/2001 12:00:00 AM,19.16667,54.58333,,,,POINT (54.58333 19.16667),
Dhofar 720,7476,Valid,H4,392,Found,01/01/2000 12:00:00 AM,18.945,54.895,,,,POINT (54.895 18.945),
Dhofar 721,7477,Valid,H4,13605,Found,01/01/2001 12:00:00 AM,18.79167,54.15333,,,,POINT (54.15333 18.79167),
Dhofar 722,7478,Valid,H3.9,230,Found,01/01/2001 12:00:00 AM,18.68667,54.53333,,,,POINT (54.53333 18.68667),
Dhofar 723,7479,Valid,H5,166,Found,01/01/2001 12:00:00 AM,18.68333,54.21833,,,,POINT (54.21833 18.68333),
Dhofar 726,7482,Valid,L6,262,Found,01/01/2001 12:00:00 AM,19.34167,54.73333,,,,POINT (54.73333 19.34167),
Dhofar 727,7483,Valid,H5,329,Found,01/01/2001 12:00:00 AM,19.34333,54.73333,,,,POINT (54.73333 19.34333),
Dhofar 730,7484,Valid,Lunar (anorth),108,Found,01/01/2002 12:00:00 AM,19.325,54.79167,,,,POINT (54.79167 19.325),
Dhofar 735,7488,Valid,CM2,381,Found,01/01/2002 12:00:00 AM,19.06833,54.78,,,,POINT (54.78 19.06833),
Dhofar 743,7489,Valid,L6,141,Found,01/01/2002 12:00:00 AM,19.19333,54.70167,,,,POINT (54.70167 19.19333),
Dhofar 744,7490,Valid,H6,132,Found,01/01/2002 12:00:00 AM,19.26,54.805,,,,POINT (54.805 19.26),
Dhofar 745,7491,Valid,H4,3600,Found,01/01/2000 12:00:00 AM,18.88637,54.65452,,,,POINT (54.65452 18.88637),
Dhofar 746,7492,Valid,H6,969,Found,01/01/2000 12:00:00 AM,18.27562,54.32182,,,,POINT (54.32182 18.27562),
Dhofar 747,7493,Valid,L3,1555,Found,01/01/2000 12:00:00 AM,18.79565,54.73953,,,,POINT (54.73953 18.79565),
Dhofar 748,7494,Valid,H6,1030,Found,01/01/2000 12:00:00 AM,18.77152,54.71638,,,,POINT (54.71638 18.77152),
Dhofar 749,7495,Valid,LL6,1730,Found,01/01/2000 12:00:00 AM,18.8773,54.78035,,,,POINT (54.78035 18.8773),
Dhofar 750,7496,Valid,L6,742,Found,01/01/2000 12:00:00 AM,18.83783,54.67117,,,,POINT (54.67117 18.83783),
Dhofar 751,7497,Valid,H6,1155,Found,01/01/2000 12:00:00 AM,18.89213,54.71285,,,,POINT (54.71285 18.89213),
Dhofar 752,7498,Valid,L6,444,Found,01/01/2000 12:00:00 AM,18.72743,54.76705,,,,POINT (54.76705 18.72743),
Dhofar 753,7499,Valid,H3/4,550,Found,01/01/2000 12:00:00 AM,18.26585,54.32107,,,,POINT (54.32107 18.26585),
Dhofar 754,7500,Valid,H4,538,Found,01/01/2000 12:00:00 AM,18.85367,54.64705,,,,POINT (54.64705 18.85367),
Dhofar 755,7501,Valid,L6,547,Found,01/01/2000 12:00:00 AM,18.31667,54.23578,,,,POINT (54.23578 18.31667),
Dhofar 756,7502,Valid,H5,362,Found,01/01/2000 12:00:00 AM,18.42112,54.58853,,,,POINT (54.58853 18.42112),
Dhofar 757,7503,Valid,H5,471,Found,01/01/2000 12:00:00 AM,18.85383,54.647,,,,POINT (54.647 18.85383),
Dhofar 758,7504,Valid,L6,253,Found,01/01/2000 12:00:00 AM,18.9645,54.75722,,,,POINT (54.75722 18.9645),
Dhofar 759,7505,Valid,H4/5,441,Found,01/01/2000 12:00:00 AM,18.73127,54.82003,,,,POINT (54.82003 18.73127),
Dhofar 760,7506,Valid,L5,163,Found,01/01/2000 12:00:00 AM,18.94455,54.67403,,,,POINT (54.67403 18.94455),
Dhofar 761,7507,Valid,H6,107,Found,01/01/2000 12:00:00 AM,19.06058,54.52113,,,,POINT (54.52113 19.06058),
Dhofar 762,7508,Valid,H6,235,Found,01/01/2000 12:00:00 AM,18.75133,54.71908,,,,POINT (54.71908 18.75133),
Dhofar 763,7509,Valid,L5,190,Found,01/01/2000 12:00:00 AM,18.86492,54.64972,,,,POINT (54.64972 18.86492),
Dhofar 764,7510,Valid,H5,195,Found,01/01/2000 12:00:00 AM,18.83062,54.76645,,,,POINT (54.76645 18.83062),
Dhofar 765,7511,Valid,L5,135,Found,01/01/2000 12:00:00 AM,18.94362,54.67067,,,,POINT (54.67067 18.94362),
Dhofar 766,7512,Valid,H6,152,Found,01/01/2000 12:00:00 AM,18.2776,54.32358,,,,POINT (54.32358 18.2776),
Dhofar 767,7513,Valid,H6,317,Found,01/01/2000 12:00:00 AM,18.8323,54.76583,,,,POINT (54.76583 18.8323),
Dhofar 768,7514,Valid,H5/6,195,Found,01/01/2000 12:00:00 AM,18.81928,54.61427,,,,POINT (54.61427 18.81928),
Dhofar 769,7515,Valid,L6,250,Found,01/01/2000 12:00:00 AM,18.96265,54.75108,,,,POINT (54.75108 18.96265),
Dhofar 770,7516,Valid,H5/6,376,Found,01/01/2000 12:00:00 AM,18.245,54.40912,,,,POINT (54.40912 18.245),
Dhofar 771,7517,Valid,H5,114,Found,01/01/2000 12:00:00 AM,18.85012,54.62327,,,,POINT (54.62327 18.85012),
Dhofar 772,7518,Valid,L6,9187,Found,01/01/2000 12:00:00 AM,19.0855,54.76243,,,,POINT (54.76243 19.0855),
Dhofar 773,7519,Valid,H5,295,Found,01/01/2000 12:00:00 AM,18.8473,54.53538,,,,POINT (54.53538 18.8473),
Dhofar 774,7520,Valid,L6,115,Found,01/01/2000 12:00:00 AM,18.69225,54.59118,,,,POINT (54.59118 18.69225),
Dhofar 775,7521,Valid,H5,212,Found,01/01/2000 12:00:00 AM,18.90333,54.70452,,,,POINT (54.70452 18.90333),
Dhofar 776,7522,Valid,L5,121,Found,01/01/2000 12:00:00 AM,18.86208,54.67937,,,,POINT (54.67937 18.86208),
